Iteration	Posterior	Likelihood	Tree Prior	Pi[0]	Pi[1]	Pi[2]	Pi[3]	AC	AG	AT	CG	CT	GT
10	-4968.533943	-4798.893708	-168.829760	0.220105	0.253847	0.333035	0.193013	0.138550	0.364538	1.603224	0.028810	0.005293	0.424201
20	-4967.273093	-4799.742169	-167.012400	0.218582	0.214538	0.374396	0.192485	0.138550	0.364538	1.603224	0.028810	0.004561	0.366544
30	-4970.148817	-4802.589828	-167.012400	0.206599	0.219859	0.395699	0.177842	0.138550	0.364538	1.603224	0.028810	0.010174	0.366544
40	-4968.428593	-4802.511036	-165.816773	0.206599	0.219859	0.395699	0.177842	0.138550	0.303057	1.575543	0.028810	0.010174	0.366544
50	-4973.395661	-4808.307181	-164.894565	0.223346	0.200791	0.395028	0.180834	0.162446	0.303057	1.575543	0.028810	0.004905	0.366544
60	-4969.519347	-4804.196464	-164.867244	0.223346	0.200791	0.395028	0.180834	0.156374	0.347661	1.575543	0.043298	0.004229	0.366544
70	-4966.813846	-4803.854659	-161.426959	0.223346	0.200791	0.395028	0.180834	0.100278	0.347661	1.842497	0.043298	0.008689	0.366544
80	-4964.111526	-4802.494797	-160.084501	0.202575	0.224200	0.392232	0.180992	0.100278	0.347661	1.842497	0.043298	0.008689	0.366544
90	-4965.204635	-4802.975310	-160.696336	0.209293	0.242889	0.388580	0.159237	0.100278	0.347661	1.842497	0.043298	0.008841	0.366544
100	-4966.026018	-4804.300925	-160.210499	0.209293	0.242889	0.388580	0.159237	0.100278	0.347661	1.842497	0.043298	0.005162	0.366544
110	-4960.838777	-4800.677461	-158.646722	0.214622	0.270755	0.351510	0.163113	0.100278	0.347661	1.842497	0.043298	0.005162	0.366544
120	-4960.986484	-4801.835457	-157.606455	0.233980	0.240919	0.366168	0.158933	0.100278	0.347661	1.842497	0.043298	0.011158	0.366544
130	-4963.432813	-4803.909027	-157.606455	0.234579	0.277330	0.328511	0.159579	0.097476	0.347661	1.842497	0.043298	0.011158	0.443898
140	-4962.446842	-4802.815606	-157.888650	0.225687	0.264719	0.328957	0.180638	0.097476	0.347661	1.805517	0.043298	0.013189	0.443898
150	-4963.748852	-4805.502133	-156.526692	0.205044	0.280751	0.336477	0.177728	0.097476	0.347661	1.805517	0.040839	0.011136	0.443898
160	-4968.424453	-4806.007536	-160.659711	0.205044	0.280751	0.336477	0.177728	0.097476	0.347661	1.805517	0.040839	0.018571	0.443898
170	-4963.687427	-4805.467953	-156.495855	0.205044	0.280751	0.336477	0.177728	0.097476	0.340944	1.805517	0.040839	0.018571	0.443898
180	-4965.915379	-4806.496730	-158.271650	0.216940	0.289207	0.340525	0.153328	0.097476	0.340944	1.805517	0.040839	0.018571	0.328574
190	-4964.193878	-4804.814238	-158.005003	0.216940	0.289207	0.340525	0.153328	0.097476	0.388039	1.805517	0.040839	0.017004	0.328574
200	-4966.140998	-4806.511781	-158.238162	0.216940	0.289207	0.340525	0.153328	0.097476	0.388039	1.805517	0.040839	0.020287	0.328574
210	-4961.242263	-4800.857352	-158.841186	0.235708	0.268658	0.346507	0.149127	0.097476	0.339986	1.887420	0.040839	0.016972	0.328574
220	-4959.635880	-4798.879472	-159.212682	0.204754	0.254780	0.380839	0.159626	0.097476	0.339986	1.887420	0.040839	0.016972	0.328574
230	-4959.438872	-4798.714917	-159.212682	0.204754	0.254780	0.380839	0.159626	0.097476	0.333495	1.887420	0.040839	0.016972	0.328574
240	-4964.999794	-4807.035769	-156.564313	0.248379	0.255979	0.342440	0.153201	0.097476	0.333495	1.887420	0.018527	0.016972	0.328574
250	-4964.869504	-4805.354952	-158.114841	0.247711	0.224206	0.362574	0.165509	0.097476	0.333495	1.887420	0.018527	0.016972	0.328574
260	-4962.024740	-4800.923568	-159.421909	0.223188	0.220711	0.371308	0.184793	0.097476	0.396546	1.887420	0.020730	0.007629	0.328574
270	-4959.082224	-4799.860200	-159.421909	0.217549	0.271566	0.329557	0.181329	0.145270	0.396546	1.461592	0.027495	0.003068	0.328574
280	-4962.135106	-4803.110641	-159.224350	0.245265	0.231290	0.368345	0.155101	0.145270	0.396546	1.461592	0.027495	0.003068	0.328574
290	-4962.666089	-4803.208654	-159.712265	0.245265	0.231290	0.368345	0.155101	0.134281	0.396546	1.461592	0.027495	0.003068	0.328574
300	-4958.072140	-4799.276625	-159.940701	0.245265	0.231290	0.368345	0.155101	0.115108	0.237647	1.461592	0.027495	0.003068	0.328574
310	-4957.908490	-4797.433511	-161.632371	0.245265	0.231290	0.368345	0.155101	0.115108	0.237647	1.461592	0.027495	0.000627	0.328574
320	-4958.935910	-4798.427877	-161.632371	0.244189	0.260354	0.326063	0.169394	0.115108	0.237647	1.461592	0.034106	0.000627	0.328574
330	-4954.606915	-4794.794413	-161.624345	0.233387	0.241907	0.350264	0.174442	0.115108	0.237647	1.324421	0.034106	0.000297	0.328574
340	-4955.833856	-4797.283300	-160.361593	0.233387	0.241907	0.350264	0.174442	0.115108	0.237647	1.324421	0.034106	0.000458	0.328574
350	-4957.823768	-4798.215626	-161.043099	0.224357	0.224746	0.371224	0.179674	0.115108	0.312863	1.324421	0.034106	0.000458	0.328574
360	-4963.667752	-4804.201982	-160.900727	0.251777	0.243824	0.330776	0.173623	0.115108	0.312863	1.324421	0.034106	0.000458	0.328574
370	-4975.777972	-4813.701045	-163.244262	0.251777	0.243824	0.330776	0.173623	0.115108	0.210811	1.479141	0.034106	0.001315	0.328574
380	-4973.531046	-4811.492439	-163.205943	0.250014	0.229037	0.345578	0.175371	0.115108	0.210811	1.479141	0.034106	0.001315	0.328574
390	-4974.496922	-4814.464650	-161.185511	0.255415	0.216355	0.354475	0.173755	0.115108	0.210811	1.479141	0.036925	0.001315	0.328574
400	-4969.728219	-4809.241943	-161.139045	0.245342	0.249883	0.343323	0.161452	0.115108	0.311099	1.479141	0.036925	0.001122	0.328574
410	-4972.819732	-4810.589336	-162.883164	0.245342	0.249883	0.343323	0.161452	0.115108	0.311099	1.479141	0.036925	0.001122	0.328574
420	-4967.234387	-4806.799948	-161.466400	0.231517	0.233412	0.362754	0.172317	0.115108	0.311099	1.479141	0.036925	0.000527	0.253329
430	-4970.114211	-4807.995768	-163.213973	0.216888	0.261328	0.338055	0.183729	0.115108	0.311099	1.479141	0.024211	0.000527	0.253329
440	-4968.567390	-4806.990443	-162.671058	0.229519	0.251750	0.341863	0.176867	0.115108	0.311099	1.479141	0.024211	0.000811	0.253329
450	-4961.653211	-4802.818169	-159.877585	0.229519	0.251750	0.341863	0.176867	0.115108	0.311099	1.479141	0.024211	0.000811	0.263643
460	-4967.135652	-4807.047021	-161.131173	0.250045	0.254921	0.319581	0.175452	0.115108	0.311099	1.479141	0.024211	0.000811	0.263643
470	-4961.241404	-4800.391962	-161.891983	0.250045	0.254921	0.319581	0.175452	0.115108	0.311099	1.479141	0.024211	0.000811	0.263643
480	-4961.687867	-4800.979087	-161.752611	0.250045	0.254921	0.319581	0.175452	0.115108	0.311099	1.479141	0.024211	0.000553	0.263643
490	-4966.142688	-4802.930153	-164.239010	0.241946	0.276888	0.318522	0.162645	0.115108	0.311099	1.479141	0.027613	0.000622	0.263643
500	-4964.329119	-4801.377595	-163.980598	0.227689	0.286603	0.316086	0.169623	0.115108	0.311099	1.479141	0.026861	0.000854	0.263643
510	-4966.189587	-4801.502532	-165.697567	0.227689	0.286603	0.316086	0.169623	0.115108	0.311099	1.479141	0.030573	0.000854	0.263643
520	-4974.161430	-4807.888862	-167.283081	0.195196	0.300549	0.359943	0.144313	0.115108	0.311099	1.479141	0.030573	0.000854	0.263643
530	-4964.705085	-4796.282297	-169.433301	0.201229	0.239044	0.389005	0.170722	0.115108	0.311099	1.479141	0.030573	0.000854	0.263643
540	-4962.455630	-4794.014167	-169.451975	0.201229	0.239044	0.389005	0.170722	0.115108	0.311099	1.479141	0.030573	0.000854	0.263643
550	-4965.092956	-4795.199179	-170.904289	0.209504	0.223010	0.399165	0.168321	0.115108	0.311099	1.479141	0.030573	0.000854	0.263643
560	-4965.540039	-4796.935414	-169.640172	0.209504	0.223010	0.399165	0.168321	0.115108	0.311099	1.479141	0.025466	0.000955	0.263643
570	-4967.215502	-4798.753519	-169.403679	0.209504	0.223010	0.399165	0.168321	0.115108	0.311099	1.479141	0.044837	0.000354	0.263643
580	-4967.421139	-4799.075734	-169.392573	0.209504	0.223010	0.399165	0.168321	0.115108	0.311099	1.479141	0.023699	0.000397	0.263643
590	-4973.920869	-4803.512527	-171.360043	0.213834	0.212219	0.400362	0.173585	0.115108	0.311099	1.479141	0.042792	0.000397	0.263643
600	-4977.045745	-4806.194031	-171.803416	0.194816	0.233569	0.401622	0.169992	0.115108	0.311099	1.479141	0.042792	0.000397	0.263643
610	-4972.579557	-4802.533423	-170.998655	0.201663	0.254269	0.375223	0.168845	0.115108	0.311099	1.479141	0.042792	0.000234	0.263643
620	-4971.334921	-4801.638244	-170.649198	0.200336	0.234233	0.395973	0.169458	0.115108	0.311099	1.479141	0.042792	0.000234	0.263643
630	-4971.578459	-4804.470804	-168.346721	0.200336	0.234233	0.395973	0.169458	0.105328	0.311099	1.479141	0.024465	0.000234	0.234443
640	-4970.799909	-4803.581011	-168.477947	0.195445	0.238511	0.388516	0.177528	0.105328	0.311099	1.479141	0.024465	0.000234	0.230446
650	-4975.143577	-4804.642665	-170.955585	0.195445	0.238511	0.388516	0.177528	0.105328	0.311099	1.625859	0.038622	0.000234	0.230446
660	-4974.721750	-4806.819440	-168.356981	0.195445	0.238511	0.388516	0.177528	0.105328	0.311099	1.625859	0.038622	0.000234	0.230446
670	-4971.050509	-4804.970642	-166.563083	0.195445	0.238511	0.388516	0.177528	0.105328	0.311099	1.625859	0.032982	0.000165	0.230446
680	-4969.217812	-4804.961151	-164.739876	0.195445	0.238511	0.388516	0.177528	0.105328	0.311099	1.625859	0.032982	0.000165	0.230446
690	-4970.525360	-4806.143259	-164.738085	0.219268	0.225772	0.389228	0.165732	0.124667	0.335957	1.625859	0.032982	0.000165	0.211695
700	-4973.032339	-4804.375581	-168.859866	0.219268	0.225772	0.389228	0.165732	0.124667	0.365926	1.625859	0.033588	0.000165	0.211695
710	-4974.392765	-4804.822479	-169.804719	0.219268	0.225772	0.389228	0.165732	0.124667	0.328552	1.625859	0.033588	0.000431	0.242539
720	-4976.493606	-4807.280796	-169.397138	0.228609	0.206256	0.391980	0.173155	0.149376	0.328552	1.625859	0.018901	0.000431	0.242539
730	-4975.425423	-4808.830143	-166.779607	0.240031	0.218193	0.371421	0.170355	0.149376	0.328552	1.625859	0.018901	0.000431	0.242539
740	-4973.743456	-4808.643482	-165.284301	0.205720	0.256299	0.357522	0.180458	0.149376	0.328552	1.625859	0.018901	0.000431	0.242539
750	-4978.668573	-4814.513700	-163.852533	0.210539	0.284532	0.319505	0.185425	0.149376	0.328552	1.625859	0.018901	0.000556	0.339747
